level_0,level_1,1,2,3,4
"(4, 2)","(3, 2)",-295.8286601151545,-296.86899283114576,-299.84588892562084,-507.5
"(3, 2)","(2, 2)",-283.8830640449468,-287.0835342548457,-284.6169839865521,-889.0
"(2, 2)","(1, 2)",-270.8500776285873,-272.73860890290746,-270.64510428407226,-508.5
"(3, 2)","(1, 2)",-266.3917089636658,-268.39566307888026,-269.64325191780404,-509.0
"(3, 1)","(1, 2)",-262.09797601116,-267.7190137155108,-268.20967049886923,-262.18148075771404
"(3, 0)","(1, 2)",-264.85285869087244,-263.01549607480854,-261.58775671172407,-266.1928205722561
"(1, 2)","(1, 4)",-222.5355881346086,-226.67970043282713,-221.96816141028313,-225.67106971787487
"(0, 2)","(1, 4)",-223.38529293648614,-222.395784172442,-221.505155421297,-219.52459819415012
"(2, 2)","(1, 4)",-224.62115984565074,-225.2322537400321,-223.33021059602993,-507.5
"(1, 1)","(1, 4)",-227.32612775936371,-221.36306582203804,-224.1087808177387,-220.5206673886494
"(0, 1)","(1, 4)",-222.60990757305777,-225.53597592854805,-220.30170806969937,-224.93552618088043
"(2, 1)","(1, 4)",-224.34905795998532,-221.36743996886653,-219.58451458210237,-223.45491671209174
"(1, 0)","(1, 4)",-225.161215863223,-219.37316940385972,-222.60990757305777,-221.61432374208425
"(0, 0)","(1, 4)",-219.9435448786968,-219.86821877572174,-219.9435448786968,-222.10004498988877
"(2, 0)","(1, 4)",-222.07471962990525,-221.87461405968904,-219.9435448786968,-218.48722138174713
"(1, 4)","(1, 5)",-207.1930870604324,-226.95738485531007,-228.4920262431099,-1008.046875
"(0, 4)","(1, 5)",-207.1928813198076,-218.06462511487047,-219.66673358393894,-195.14453238427518
"(2, 4)","(1, 5)",-217.60053206830594,-219.15015042683459,-761.25,-217.2995472355306
"(1, 3)","(1, 5)",-218.3628202144555,-507.5,-218.148910375278,-217.80188694372242
"(0, 3)","(1, 5)",-209.42371212795575,-212.30287545779333,-208.22925446290787,-207.18500259176653
"(2, 3)","(1, 5)",0.0,0.0,0.0,0.0
"(5, 1)","(3, 1)",-323.59313368991195,-329.47944113040717,-327.98311858302566,-326.6687154125859
"(4, 0)","(3, 1)",-312.4543270854872,-313.43528084396826,-316.6783072451778,-314.21953240692227
"(3, 0)","(3, 1)",-309.1146430934985,-309.4641852958291,-304.40050499752726,-305.7882527580641
"(2, 0)","(3, 1)",-309.0895195303526,-310.34208864863774,-307.3467992264766,-309.3073446932565
"(1, 0)","(3, 1)",-313.2019841024536,-306.2435911235299,-308.85579426145364,-307.8979250258999
"(0, 0)","(3, 1)",-312.1828056455001,-310.33053626862215,-311.4444542144562,-313.53977009317913
"(5, 0)","(3, 1)",-320.91765975014886,-321.04933124003367,-319.34920348885976,-320.78564380865646
"(4, 2)","(3, 1)",-324.528211745279,-329.7732704615606,-324.63255812350775,-508.5
"(3, 2)","(3, 1)",-318.923186665789,-320.7634562545666,-320.7683284735606,-508.0
"(2, 2)","(3, 1)",-311.40850959041285,-314.264235777537,-310.4394464423624,-762.75
"(1, 2)","(3, 1)",-310.29965335821225,-309.0318135111494,-309.5762707486272,-307.75753078936606
"(0, 2)","(3, 1)",-304.7063373321609,-309.94976135025786,-309.60122746176387,-306.3096083896371
"(5, 2)","(3, 1)",-330.7364367831657,-329.61879542512713,-326.17404172680585,-509.0
"(4, 1)","(2, 1)",-312.7668742797389,-318.6550549972969,-313.47194782162205,-316.15318911752837
"(3, 0)","(2, 1)",-308.718770575864,-313.20646401473743,-308.85579426145364,-307.3875024801722
"(2, 0)","(2, 1)",-299.8461116322501,-307.3858876302979,-303.74819549524284,-299.34119270989027
"(1, 0)","(2, 1)",-297.5145571346915,-301.7398307878134,-299.7674483629595,-299.746364028539
"(0, 0)","(2, 1)",-297.19229882629236,-300.8409722310861,-297.19229882629236,-296.0475013903073
"(4, 0)","(2, 1)",-313.3887361381775,-313.26875638045226,-312.1828056455001,-312.16596999739903
"(3, 2)","(2, 1)",-311.0565440895506,-308.8298748457411,-308.73749347179125,-509.0
"(2, 2)","(2, 1)",-303.54673182592944,-306.38232882398944,-303.37646908941224,-762.75
"(1, 2)","(2, 1)",-295.8185295362425,-300.4613396511255,-300.47328358632944,-298.7129935944008
"(0, 2)","(2, 1)",-289.6405013329571,-297.2724181413655,-293.5077074968847,-293.9018900428407
"(4, 2)","(2, 1)",-315.05942900438225,-313.33990870175194,-311.93903891371576,-509.5
"(2, 3)","(1, 1)",0.0,0.0,0.0,0.0
"(3, 1)","(4, 1)",-329.4579532573044,-331.9922702026051,-329.26825306184,-331.3881863562111
"(2, 1)","(4, 1)",-328.1654072265193,-330.14047031129945,-329.37747768813915,-326.0830105740487
"(1, 1)","(4, 1)",-324.2934126740238,-326.5203915201944,-323.36112632454467,-322.1014904806086
"(0, 1)","(4, 1)",-322.7324577136956,-321.2768571070107,-325.89086288077937,-322.76278455724133
"(5, 3)","(4, 1)",0.0,0.0,0.0,0.0
"(3, 3)","(4, 1)",0.0,0.0,0.0,0.0
"(3, 3)","(4, 2)",0.0,0.0,0.0,0.0
"(3, 1)","(3, 2)",-301.90112221572014,-301.1355078235412,-302.3295176246064,-759.75
"(2, 1)","(3, 2)",-295.58346577682596,-295.0495432564676,-298.2593054835678,-297.99205078588835
"(1, 1)","(3, 2)",-293.86519131794034,-295.0546695536714,-293.1820497536801,-292.02044073487957
"(0, 1)","(3, 2)",-294.8393164429723,-294.32051534075094,-293.82784558284277,-295.40945145340277
"(4, 1)","(3, 2)",-299.5909258890756,-296.73610509825625,-299.3017629617256,-296.25900332369076
"(3, 0)","(3, 2)",-298.27786878060783,-301.7151792004221,-301.65953198459454,-303.276537692724
"(2, 0)","(3, 2)",-299.49231718399216,-299.31219939388694,-297.2343673319023,-293.1136649641266
"(1, 0)","(3, 2)",-294.7934936307064,-297.4679394488833,-293.65230581365324,-292.36845161113365
"(0, 0)","(3, 2)",-297.19229882629236,-297.1178353342453,-297.19229882629236,-293.836983771145
"(4, 0)","(3, 2)",-296.51406280871197,-302.22117749984415,-297.2343673319023,-296.27349470525496
"(3, 2)","(3, 3)",0.0,0.0,0.0,0.0
"(4, 3)","(4, 1)",0.0,0.0,0.0,0.0
"(4, 3)","(3, 1)",0.0,0.0,0.0,0.0
"(2, 3)","(4, 2)",0.0,0.0,0.0,0.0
"(2, 3)","(4, 1)",0.0,0.0,0.0,0.0
"(1, 3)","(4, 1)",-312.29487248746307,-508.5,-310.03530487243347,-310.06597741830944
"(0, 3)","(4, 1)",-313.4646381038567,-310.0875319958751,-317.3355765121347,-311.21169415456586
"(5, 1)","(2, 1)",-318.1439309839068,-312.1828056455001,-318.3857332652897,-311.35382705173555
"(5, 0)","(2, 1)",-315.66725858224066,-313.70298209441955,-313.70298209441955,-315.67929371583534
"(5, 2)","(2, 1)",-314.85459803367127,-313.70298209441955,-311.6336158677063,-510.0
"(2, 1)","(2, 2)",-292.4136750997324,-292.59499698190416,-289.83612039940544,-760.5
"(1, 1)","(2, 2)",-286.0356990752079,-285.7333150310641,-288.47584407273223,-286.7967035155269
"(0, 1)","(2, 2)",-280.68161555816494,-286.11674513968205,-280.6526218585328,-283.28091846119554
"(3, 1)","(2, 2)",-293.6575040431022,-286.3849434005497,-289.0143103070716,-288.21694279077354
"(2, 0)","(2, 2)",-287.6211568090315,-287.7524485572402,-284.10834810424217,-288.68276240057463
"(1, 0)","(2, 2)",-283.7304201592294,-284.5990191362572,-287.77820748037414,-289.6985393199942
"(0, 0)","(2, 2)",-282.05075510849963,-280.6100709878355,-282.05075510849963,-283.27818386109743
"(3, 0)","(2, 2)",-288.3957358293428,-289.519787634885,-287.77820748037414,-292.18192731779334
"(2, 2)","(2, 3)",0.0,0.0,0.0,0.0
"(5, 3)","(4, 2)",0.0,0.0,0.0,0.0
"(3, 3)","(3, 1)",0.0,0.0,0.0,0.0
"(5, 2)","(3, 2)",-300.0783750397576,-296.88591304235416,-296.55132842682434,-508.0
"(5, 1)","(3, 2)",-296.599000632636,-297.2343673319023,-296.52156314694344,-300.44049997040395
"(5, 0)","(3, 2)",-296.8680144312764,-301.86511986075743,-301.86511986075743,-299.6894242312859
"(4, 3)","(3, 2)",0.0,0.0,0.0,0.0
"(0, 4)","(4, 1)",-302.6988171499899,-306.601514274472,-304.4735219227765,-304.23782319834424
"(1, 4)","(4, 1)",-299.12744142013463,-299.14654897153116,-308.1776939931507,-306.6389417088186
"(2, 4)","(4, 1)",-299.0458701522477,-290.04839650587417,-508.5,-296.03006243782903
"(0, 5)","(4, 1)",-302.2272309942425,-299.2607207784561,-308.63476758543607,-511.0
"(1, 5)","(4, 1)",-301.1551324389998,-302.3713827864275,-298.97143996021276,-510.5
"(2, 5)","(4, 1)",-298.68240992534834,-296.7196540748441,-293.34876089651937,-892.5
"(3, 4)","(4, 1)",-289.58131157839784,-291.4023650460408,-508.0,-286.995040955033
"(5, 3)","(3, 1)",0.0,0.0,0.0,0.0
"(1, 3)","(4, 2)",-308.02592540650966,-761.25,-308.2208882205565,-310.76795322650344
"(0, 3)","(4, 2)",-305.468759723459,-308.7543556501997,-312.1322342380127,-309.60618810273655
"(2, 1)","(3, 1)",-309.9409480788394,-320.14287080535325,-312.68230491339966,-307.27023774689644
"(1, 1)","(3, 1)",-310.8469209590384,-311.41335626605957,-305.8536698087282,-306.61177364637626
"(0, 1)","(3, 1)",-308.85579426145364,-308.8886902789585,-311.61790093586944,-311.7318162971886
"(4, 2)","(2, 2)",-284.63428219888317,-287.79785181789816,-287.8324148437656,-508.5
"(4, 1)","(2, 2)",-287.5955716061603,-286.62124430431174,-287.9024706273166,-285.97497077453033
"(4, 0)","(2, 2)",-292.1295845008008,-289.05131889556355,-289.6405013329571,-288.6658806780381
"(3, 3)","(2, 2)",0.0,0.0,0.0,0.0
"(0, 6)","(4, 1)",0.0,0.0,0.0,0.0
"(3, 3)","(2, 1)",0.0,0.0,0.0,0.0
"(2, 2)","(3, 2)",-295.78935363997783,-300.7433780923749,-294.8084834161015,-507.5
"(1, 2)","(3, 2)",-291.78053621900983,-290.91751420584546,-290.97239189922163,-291.5605838407456
"(0, 2)","(3, 2)",-289.2110840542054,-288.2837537548471,-294.6538085432426,-292.9718828445079
"(0, 4)","(4, 2)",-304.31647551269566,-305.4890133549536,-308.5197846753507,-302.15125771942974
"(1, 4)","(4, 2)",-303.94745678426966,-305.91719019214014,-303.02508574204455,-302.2881027282549
"(0, 5)","(4, 2)",-297.7202415034161,-300.37040901446176,-304.090106636347,-510.0
"(1, 5)","(4, 2)",-300.9507006010749,-297.38789124538505,-303.96720854001717,-509.5
"(2, 4)","(4, 2)",-300.4226029389263,-301.01381031799474,-507.5,-299.68040829694326
"(2, 5)","(4, 2)",-300.42618168472933,-294.55265031323495,-299.23065466007176,-509.0
"(3, 4)","(4, 2)",-301.44687354534443,-298.43104051106195,-507.0,-301.3205668624445
"(0, 6)","(4, 2)",0.0,0.0,0.0,0.0
"(2, 3)","(2, 1)",0.0,0.0,0.0,0.0
"(5, 3)","(3, 2)",0.0,0.0,0.0,0.0
"(1, 3)","(3, 1)",-299.71959292291643,-508.5,-305.3964013708609,-300.98858771085804
"(0, 3)","(3, 1)",-305.731640295899,-300.0113185745587,-302.5212229810259,-305.5428817166927
"(2, 3)","(3, 1)",0.0,0.0,0.0,0.0
"(1, 6)","(4, 2)",0.0,0.0,0.0,0.0
"(1, 6)","(4, 1)",0.0,0.0,0.0,0.0
"(3, 5)","(4, 1)",-288.8063645180257,-291.9331194344676,-288.70930222147337,-509.5
"(4, 4)","(4, 1)",-291.82665248885377,-289.5362482858019,-507.5,-286.9128393569408
